# ==============================================================================
# --- est / hse diff ---
# ==============================================================================
# --- 屋苑與公屋類別 (含有 邨/苑/山莊) ------------------------
九龍站柯士甸道西1號君臨天下18座7樓782室 | 九龍站柯士甸道西1號君臨天下 | 18座7樓782室
新界葵涌葵芳邨葵安楼12楼B室 | 新界葵涌葵芳邨 | 葵安楼12楼B室
新界葵涌葵芳邨葵安樓12樓B室 | 新界葵涌葵芳邨 | 葵安樓12樓B室
何文田爱民邨嘉民楼6楼11室 | 何文田爱民邨 | 嘉民楼6楼11室
何文田愛民邨嘉民樓6樓11室 | 何文田愛民邨 | 嘉民樓6樓11室
新界大埔富善邨善邻楼9楼901室 | 新界大埔富善邨 | 善邻楼9楼901室
新界大埔富善邨善鄰樓9樓901室 | 新界大埔富善邨 | 善鄰樓9樓901室
九龙牛头角彩霞邨彩星楼4楼C室 | 九龙牛头角彩霞邨 | 彩星楼4楼C室
九龍牛頭角彩霞邨彩星樓4樓C室 | 九龍牛頭角彩霞邨 | 彩星樓4樓C室
新界沙田禾𪨶邨景和楼28楼 | 新界沙田禾𪨶邨 | 景和楼28楼
新界沙田禾輋邨景和樓28樓 | 新界沙田禾輋邨 | 景和樓28樓
#-------------------山庄-----------------------
香港大潭水塘道阳明山庄9座12楼B室 | 香港大潭水塘道阳明山庄 | 9座12楼B室
香港大潭水塘道陽明山莊9座12樓B室 | 香港大潭水塘道陽明山莊 | 9座12樓B室
新界大埔滘大埔公路鹿茵山庄第6座8楼A室 | 新界大埔滘大埔公路 | 鹿茵山庄第6座8楼A室
新界大埔滘大埔公路鹿茵山莊第6座8樓A室 | 新界大埔滘大埔公路 | 鹿茵山莊第6座8樓A室
新界沙田铜锣湾山路晓峰山庄5楼C室 | 新界沙田铜锣湾山路 | 晓峰山庄5楼C室
新界沙田銅鑼灣山路曉峰山莊5樓C室 | 新界沙田銅鑼灣山路 | 曉峰山莊5樓C室
新界屯门扫管笏管翠路8号NAPA山庄1座6楼D | 新界屯门扫管笏管翠路8号 | NAPA山庄1座6楼D
新界屯門掃管笏管翠路8號NAPA山莊1座6樓D | 新界屯門掃管笏管翠路8號 | NAPA山莊1座6樓D
新界大埔三门仔路23号涤涛山庄2座10楼A室 | 新界大埔三门仔路23号 | 涤涛山庄2座10楼A室
新界大埔三門仔路23號滌濤山莊2座10樓A室 | 新界大埔三門仔路23號 | 滌濤山莊2座10樓A室
新界元朗锦绣花园大道1号锦绣山庄H座 | 新界元朗锦绣花园大道1号 | 锦绣山庄H座
新界元朗錦繡花園大道1號錦繡山莊H座 | 新界元朗錦繡花園大道1號 | 錦繡山莊H座
新界西贡清水湾道壁涛山庄2号屋 | 新界西贡清水湾道 | 壁涛山庄2号屋
新界西貢清水灣道壁濤山莊2號屋 | 新界西貢清水灣道 | 壁濤山莊2號屋
九龙笔架山龙坪道15号毕架山庄8座7楼 | 九龙笔架山龙坪道15号 | 毕架山庄8座7楼
九龍筆架山龍坪道15號畢架山莊8座7樓 | 九龍筆架山龍坪道15號 | 畢架山莊8座7樓
新界粉岭马会道38号绿悠山庄第5座20楼F室 | 新界粉岭马会道38号 | 绿悠山庄第5座20楼F室
新界粉嶺馬會道38號綠悠山莊第5座20樓F室 | 新界粉嶺馬會道38號 | 綠悠山莊第5座20樓F室
新界银线湾道5号银峦山庄B座 | 新界银线湾道5号 | 银峦山庄B座
新界銀線灣道5號銀巒山莊B座 | 新界銀線灣道5號 | 銀巒山莊B座
新界火炭晋名峰山庄A座30楼 | 新界火炭晋名峰山庄 | A座30楼
新界火炭晉名峰山莊A座30樓 | 新界火炭晉名峰山莊 | A座30樓
香港跑马地蓝塘道60号松柏山庄2座9楼 | 香港跑马地蓝塘道60号 | 松柏山庄2座9楼
香港跑馬地藍塘道60號松柏山莊2座9樓 | 香港跑馬地藍塘道60號 | 松柏山莊2座9樓
新界大围大埔公路7505号金狮山庄金狮花园第1座15楼E室 | 新界大围大埔公路7505号金狮山庄 | 金狮花园第1座15楼E室
新界大圍大埔公路7505號金獅山莊金獅花園第1座15樓E室 | 新界大圍大埔公路7505號金獅山莊 | 金獅花園第1座15樓E室
香港浅水湾道109号百合山庄16楼 | 香港浅水湾道109号 | 百合山庄16楼
香港淺水灣道109號百合山莊16樓 | 香港淺水灣道109號 | 百合山莊16樓
新界元朗唐人新村路108号翠叠山庄5号屋 | 新界元朗唐人新村路108号 | 翠叠山庄5号屋
新界元朗唐人新村路108號翠疊山莊5號屋 | 新界元朗唐人新村路108號 | 翠疊山莊5號屋
香港山顶加列山道23号加列山庄12号屋 | 香港山顶加列山道23号 | 加列山庄12号屋
香港山頂加列山道23號加列山莊12號屋 | 香港山頂加列山道23號 | 加列山莊12號屋
新界青龙头龙腾路9号豪景山庄18座22楼G室 | 新界青龙头龙腾路9号 | 豪景山庄18座22楼G室
新界青龍頭龍騰路9號豪景山莊18座22樓G室 | 新界青龍頭龍騰路9號 | 豪景山莊18座22樓G室
香港寿臣山寿山村道28号翠谷山庄A座 | 香港寿臣山寿山村道28号 | 翠谷山庄A座
香港壽臣山壽山村道28號翠谷山莊A座 | 香港壽臣山壽山村道28號 | 翠谷山莊A座
新界荃湾荃锦公路9号朗逸山庄第10座25楼 | 新界荃湾荃锦公路9号 | 朗逸山庄第10座25楼
新界荃灣荃錦公路9號朗逸山莊第10座25樓 | 新界荃灣荃錦公路9號 | 朗逸山莊第10座25樓
香港南区赤柱环角道33号赤柱山庄7号屋 | 香港南区赤柱环角道33号 | 赤柱山庄7号屋
香港南區赤柱環角道33號赤柱山莊7號屋 | 香港南區赤柱環角道33號 | 赤柱山莊7號屋
新界马料水科进路1号天赋山庄8座5楼B室 | 新界马料水科进路1号 | 天赋山庄8座5楼B室
新界馬料水科進路1號天賦山莊8座5樓B室 | 新界馬料水科進路1號 | 天賦山莊8座5樓B室
香港半山旧山顶道18号晓峰山庄1座40楼 | 香港半山旧山顶道18号 | 晓峰山庄1座40楼
香港半山舊山頂道18號曉峰山莊1座40樓 | 香港半山舊山頂道18號 | 曉峰山莊1座40樓
新界葵涌荔景山路272号荔湾山庄3座13楼C室 | 新界葵涌荔景山路272号 | 荔湾山庄3座13楼C室
新界葵涌荔景山路272號荔灣山莊3座13樓C室 | 新界葵涌荔景山路272號 | 荔灣山莊3座13樓C室
九龙塘义德道5号又一村山庄C7座 | 九龙塘义德道5号 | 又一村山庄C7座
九龍塘義德道5號又一村山莊C7座 | 九龍塘義德道5號 | 又一村山莊C7座
香港鸭脷洲海旁道8号深湾山庄第2座38楼A室 | 香港鸭脷洲海旁道8号 | 深湾山庄第2座38楼A室
香港鴨脷洲海旁道8號深灣山莊第2座38樓A室 | 香港鴨脷洲海旁道8號 | 深灣山莊第2座38樓A室
#---------------------樓/閣-----------------------------------------
柴灣道33號興華邨美華樓18樓05室 | 柴灣道33號興華邨 | 美華樓18樓05室
天水圍天瑞路88號天頌苑頌棋閣25樓12室 | 天水圍天瑞路88號天頌苑 | 頌棋閣25樓12室
大埔汀角路大元邨泰民樓7樓702室 | 大埔汀角路大元邨 | 泰民樓7樓702室
藍田德田街德田邨德禮樓32樓C室 | 藍田德田街德田邨 | 德禮樓32樓C室
青衣青綠街青雅苑高雅閣3樓4室 | 青衣青綠街青雅苑 | 高雅閣3樓4室
沙田穗禾路穗禾苑豐景閣11樓A室 | 沙田穗禾路穗禾苑 | 豐景閣11樓A室
將軍澳寶琳北路翠林邨輝林樓9樓21室 | 將軍澳寶琳北路翠林邨 | 輝林樓9樓21室
觀塘曉光街21號曉麗苑曉星閣33樓02室 | 觀塘曉光街21號曉麗苑 | 曉星閣33樓02室
黃大仙正德街黃大仙下邨龍輝樓5樓11室 | 黃大仙正德街黃大仙下邨 | 龍輝樓5樓11室
深水埗白田街白田邨麗田樓14樓A室 | 深水埗白田街白田邨 | 麗田樓14樓A室
香港仔中心香港仔大道港興閣2樓D室 | 香港仔中心香港仔大道 | 港興閣2樓D室
屯門湖翠路1號兆禧苑安禧閣40樓08室 | 屯門湖翠路1號兆禧苑 | 安禧閣40樓08室
九龙油麻地弥敦道570号基利商业楼12楼全层 | 九龙油麻地弥敦道570号 | 基利商业楼12楼全层 
九龍油麻地彌敦道570號基利商業樓12樓全層 | 九龍油麻地彌敦道570號 | 基利商業樓12樓全層 
香港北角马宝道33号马宝楼A座8楼 | 香港北角马宝道33号 | 马宝楼A座8楼 
香港北角馬寶道33號馬寶閣A座8樓 | 香港北角馬寶道33號 | 馬寶閣A座8樓 
铜锣湾骆克道453号京都楼5楼 | 铜锣湾骆克道453号 | 京都楼5楼 
銅鑼灣駱克道453號京都樓5樓 | 銅鑼灣駱克道453號 | 京都樓5樓 
新界大围积存街58-62号美田楼地下B铺 | 新界大围积存街58-62号 | 美田楼地下B铺 
新界大圍積存街58-62號美田樓地下B舖 | 新界大圍積存街58-62號 | 美田樓地下B舖 
西环坚尼地城卑路乍街116号海都楼15楼C室 | 西环坚尼地城卑路乍街116号 | 海都楼15楼C室 
西環堅尼地城卑路乍街116號海都樓15樓C室 | 西環堅尼地城卑路乍街116號 | 海都樓15樓C室 
太子界限街45号恒顺楼3字楼 | 太子界限街45号 | 恒顺楼3字楼 
太子界限街45號恆順樓3字樓 | 太子界限街45號 | 恆順樓3字樓 
香港仔旧大街120号金丰楼8楼A室 | 香港仔旧大街120号 | 金丰楼8楼A室
香港仔舊大街120號金豐樓8樓A室 | 香港仔舊大街120號 | 金豐樓8樓A室
跑马地景光街18号雅丽楼21楼 | 跑马地景光街18号 | 雅丽楼21楼 
跑馬地景光街18號雅麗樓21樓 | 跑馬地景光街18號 | 雅麗樓21樓 
深水埗元州街298号春秋楼4楼B座 | 深水埗元州街298号 | 春秋楼4楼B座 
深水埗元州街298號春秋樓4樓B座 | 深水埗元州街298號 | 春秋樓4樓B座 
天后电气道68号金殿阁18楼 | 天后电气道68号 | 金殿阁18楼
天后電氣道68號金殿閣18樓 | 天后電氣道68號 | 金殿閣18樓
新界荃湾川龙街93号协和楼6楼 | 新界荃湾川龙街93号 | 协和楼6楼 
新界荃灣川龍街93號協和樓6樓 | 新界荃灣川龍街93號 | 協和樓6樓 
中环威灵顿街94号华威阁10楼 | 中环威灵顿街94号 | 华威阁10楼 
中環威靈頓街94號華威閣10樓 | 中環威靈頓街94號 | 華威閣10樓 
佐敦吴松街122号5楼后座 | 佐敦吴松街122号 | 5楼后座 
佐敦吳松街122號5樓後座 | 佐敦吳松街122號 | 5樓後座 
湾仔庄士敦道112号双喜楼2楼 | 湾仔庄士敦道112号 | 双喜楼2楼 
灣仔莊士敦道112號雙喜樓2樓 | 灣仔莊士敦道112號 | 雙喜樓2樓 
元朗凤攸南街9号好顺景大厦25楼F室 | 元朗凤攸南街9号 | 好顺景大厦25楼F室 
元朗鳳攸南街9號好順景大廈25樓F室 | 元朗鳳攸南街9號 | 好順景大廈25樓F室 
旺角洗衣街117号建煌楼9楼 | 旺角洗衣街117号 | 建煌楼9楼 
旺角洗衣街117號建煌樓9樓 | 旺角洗衣街117號 | 建煌樓9樓 
柴湾怡顺街1-3号宏德居C座安德阁30楼1室 | 柴湾怡顺街1-3号宏德居 | C座安德阁30楼1室 
柴灣怡順街1-3號宏德居C座安德閣30樓1室 | 柴灣怡順街1-3號宏德居 | C座安德閣30樓1室 
观塘辅仁街90号官塘大楼16楼B | 观塘辅仁街90号 | 官塘大楼16楼B
觀塘輔仁街90號官塘大樓16樓B | 觀塘輔仁街90號 | 官塘大樓16樓B
上环永乐街100号永乐楼11楼 | 上环永乐街100号 | 永乐楼11楼 
上環永樂街100號永樂樓11樓 | 上環永樂街100號 | 永樂樓11樓 
红磡机利士南路50号宏开楼20楼D室 | 红磡机利士南路50号 | 宏开楼20楼D室
紅磡機利士南路50號宏開樓20樓D室 | 紅磡機利士南路50號 | 宏開樓20樓D室
屯门乡事会路117-157号巴黎伦敦纽约戏院购物中心巴黎阁10楼 | 屯门乡事会路117-157号 | 巴黎伦敦纽约戏院购物中心巴黎阁10楼 
屯門鄉事會路117-157號巴黎倫敦紐約戲院購物中心巴黎閣10樓 | 屯門鄉事會路117-157號 | 巴黎倫敦紐約戲院購物中心巴黎閣10樓 
何文田公主道3号爱民邨敦民楼15楼1502室 | 何文田公主道3号爱民邨 | 敦民楼15楼1502室 
何文田公主道3號愛民邨敦民樓15樓1502室 | 何文田公主道3號愛民邨 | 敦民樓15樓1502室 
筲箕湾东大街59-99号东威大厦东威阁22楼 | 筲箕湾东大街59-99号 | 东威大厦东威阁22楼 
筲箕灣東大街59-99號東威大廈東威閣22樓 | 筲箕灣東大街59-99號 | 東威大廈東威閣22樓 
九龙城福佬村道88号福佬村大楼7楼 | 九龙城福佬村道88号 | 福佬村大楼7楼 
九龍城福佬村道88號福佬村大樓7樓 | 九龍城福佬村道88號 | 福佬村大樓7樓 
沙田正街3-9号希尔顿中心希尔顿阁B座12楼 | 沙田正街3-9号希尔顿中心 | 希尔顿阁B座12楼
沙田正街3-9號希爾頓中心希爾頓樓B座12樓 | 沙田正街3-9號希爾頓中心 | 希爾頓樓B座12樓
# --- 私人屋苑與大型發展項目 (花園/城/居/半島 等，不一定有「樓」字) ---
太古城太古城道海棠閣22樓F室 | 太古城太古城道 | 海棠閣22樓F室
紅磡黃埔花園第11期紫荊苑第9座10樓C室 | 紅磡黃埔花園第11期紫荊苑 | 第9座10樓C室
馬鞍山西沙路港鐵站迎海1座15樓E單位 | 馬鞍山西沙路港鐵站迎海 | 1座15樓E單位
九龍灣啟祥道9號德福花園T座14樓2室 | 九龍灣啟祥道9號德福花園 | T座14樓2室
荃灣怡康街海濱花園第19座海蔚閣7樓D室 | 荃灣怡康街海濱花園 | 第19座海蔚閣7樓D室
長沙灣深盛路8號宇晴軒第1座40樓F室 |長沙灣深盛路8號宇晴軒 | 第1座40樓F室
大角咀海庭道帝柏海灣第2座25樓D室 | 大角咀海庭道帝柏海灣 | 第2座25樓D室
沙田大涌橋路富豪花園I座帝皇閣12樓 | 沙田大涌橋路富豪花園 | I座帝皇閣12樓
北角電氣道233號城市花園第4座8樓C室 | 北角電氣道233號城市花園 | 第4座8樓C室
青衣担杆山路灝景灣第3座28樓B室 | 青衣担杆山路灝景灣 | 第3座28樓B室
馬鞍山鞍駿街1號雅濤居第2座5樓A室 | 馬鞍山鞍駿街1號雅濤居 | 第2座5樓A室
大埔太和路太和中心第1座22樓F室 | 大埔太和路太和中心 | 第1座22樓F室
#-------------------------期-------------------------
將軍澳欣景路 新都城2期6座33樓H室 | 將軍澳欣景路新都城2期 | 6座33樓H室
鴨脷洲海怡半島 第2期第13座怡麗閣28樓A室 | 鴨脷洲海怡半島第2期 | 第13座怡麗閣28樓A室
美孚新邨百老匯街 68號第3期32座5樓B室 | 美孚新邨百老匯街68號第3期 | 32座5樓B室
将军澳 欣景路8号新都城2期6座33楼H室 | 将军澳欣景路8号新都城2期 | 6座33楼H室
將軍澳 欣景路8號新都城2期6座33樓H室 | 將軍澳欣景路8號新都城2期 | 6座33樓H室
鸭脷洲海怡半岛 第2期第13座怡丽阁28楼A室 | 鸭脷洲海怡半岛第2期 | 第13座怡丽阁28楼A室
鴨脷洲海怡 半島第2期第13座怡麗閣28樓A室 | 鴨脷洲海怡半島第2期 | 第13座怡麗閣28樓A室
将军澳唐德 街9号将军澳中心第3期将军澳豪庭1座15楼B室 | 将军澳唐德街9号将军澳中心第3期 | 将军澳豪庭1座15楼B室
將軍澳 唐德街9號將軍澳中心第3期將軍澳豪庭1座15樓B室 | 將軍澳唐德街9號將軍澳中心第3期 | 將軍澳豪庭1座15樓B室
九龙茶果岭道88号丽港城第1期第20座5楼F室 | 九龙茶果岭道88号丽港城 | 第1期第20座5楼F室
九龍茶果嶺道88號麗港城第1期第20座5樓F室 | 九龍茶果嶺道88號麗港城 | 第1期第20座5樓F室
新界马鞍山鞍诚街18号新港城第4期E座22楼3室 | 新界马鞍山鞍诚街18号新港城 | 第4期E座22楼3室
新界馬鞍山鞍誠街18號新港城第4期E座22樓3室 | 新界馬鞍山鞍誠街18號新港城 | 第4期E座22樓3室
九龙红磡德安街7号黄埔花园第2期锦桃苑第10座12楼C室 | 九龙红磡德安街7号黄埔花园 | 第2期锦桃苑第10座12楼C室
九龍紅磡德安街7號黃埔花園第2期錦桃苑第10座12樓C室 | 九龍紅磡德安街7號黃埔花園 | 第2期錦桃苑第10座12樓C室
将军澳康城路1号日出康城第5期MALIBU 2A座50楼D室 | 将军澳康城路1号日出康城第5期 | MALIBU 2A座50楼D室
將軍澳康城路1號日出康城第5期MALIBU 2A座50樓D室 | 將軍澳康城路1號日出康城第5期 | MALIBU 2A座50樓D室
新界青衣牙鹰洲街8号灏景湾第3期第11座8楼G室 | 新界青衣牙鹰洲街8号灏景湾 | 第3期第11座8楼G室
新界青衣牙鷹洲街8號灝景灣第3期第11座8樓G室 | 新界青衣牙鷹洲街8號灝景灣 | 第3期第11座8樓G室
将军澳唐俊街12号天晋IIIA期第5B座21楼A室 | 将军澳唐俊街12号天晋IIIA期 | 第5B座21楼A室
將軍澳唐俊街12號天晉IIIA期第5B座21樓A室 | 將軍澳唐俊街12號天晉IIIA期 | 第5B座21樓A室
新界屯门湖翠路268号迈亚美海湾第1期第6座19楼E室 | 新界屯门湖翠路268号迈亚美海湾 | 第1期第6座19楼E室
新界屯門湖翠路268號邁亞美海灣第1期第6座19樓E室 | 新界屯門湖翠路268號邁亞美海灣 | 第1期第6座19樓E室
新界大埔安邦路9号大埔中心第2期第8座7楼B室 | 新界大埔安邦路9号大埔中心 | 第2期第8座7楼B室
新界大埔安邦路9號大埔中心第2期第8座7樓B室 | 新界大埔安邦路9號大埔中心 | 第2期第8座7樓B室
将军澳至善街3号THE PARKSIDE A期第2座30楼C室 | 将军澳至善街3号THE PARKSIDE | A期第2座30楼C室
將軍澳至善街3號THE PARKSIDE A期第2座30樓C室 | 將軍澳至善街3號THE PARKSIDE | A期第2座30樓C室
鸭脷洲海怡半岛第4期御庭园第28座16楼F室 | 鸭脷洲海怡半岛第4期御庭园 | 第28座16楼F室
鴨脷洲海怡半島第4期御庭園第28座16樓F室 | 鴨脷洲海怡半島第4期御庭園 | 第28座16樓F室
将军澳宝邑路61号维景湾畔第2期第9座45楼D室 | 将军澳宝邑路61号维景湾畔 | 第2期第9座45楼D室
將軍澳寶邑路61號維景灣畔第2期第9座45樓D室 | 將軍澳寶邑路61號維景灣畔 | 第2期第9座45樓D室
新界粉岭新运路33号粉岭中心第2期H座11楼4室 | 新界粉岭新运路33号粉岭中心 | 第2期H座11楼4室
新界粉嶺新運路33號粉嶺中心第2期H座11樓4室 | 新界粉嶺新運路33號粉嶺中心 | 第2期H座11樓4室
将军澳康城路1号日出康城第7A期MONTARA 1B座38楼A室 | 将军澳康城路1号日出康城第7A期 | MONTARA 1B座38楼A室
將軍澳康城路1號日出康城第7A期MONTARA 1B座38樓A室 | 將軍澳康城路1號日出康城第7A期 | MONTARA 1B座38樓A室
九龙茶果岭道88号丽港城第4期第35座25楼H室 | 九龙茶果岭道88号丽港城 | 第4期第35座25楼H室
九龍茶果嶺道88號麗港城第4期第35座25樓H室 | 九龍茶果嶺道88號麗港城 | 第4期第35座25樓H室
将军澳欣景路8号新都城1期4座18楼G室 | 将军澳欣景路8号新都城 | 1期4座18楼G室
將軍澳欣景路8號新都城1期4座18樓G室 | 將軍澳欣景路8號新都城 | 1期4座18樓G室
新界马鞍山恒明街2号听涛雅苑第1期第3座9楼E | 新界马鞍山恒明街2号听涛雅苑 | 第1期第3座9楼E
新界馬鞍山恆明街2號聽濤雅苑第1期第3座9樓E | 新界馬鞍山恆明街2號聽濤雅苑 | 第1期第3座9樓E
九龙红磡德康街6号黄埔花园第5期青桦苑第1座3楼A室 | 九龙红磡德康街6号黄埔花园第5期 | 青桦苑第1座3楼A室
九龍紅磡德康街6號黃埔花園第5期青樺苑第1座3樓A室 | 九龍紅磡德康街6號黃埔花園第5期 | 青樺苑第1座3樓A室
将军澳唐贤街33号ALTO RESIDENCES 第1期第2座10楼B室 | 将军澳唐贤街33号ALTO RESIDENCES | 第1期第2座10楼B室
將軍澳唐賢街33號ALTO RESIDENCES 第1期第2座10樓B室 | 將軍澳唐賢街33號ALTO RESIDENCES | 第1期第2座10樓B室
新界青衣牙鹰洲街8号灏景湾第1期第2座31楼C | 新界青衣牙鹰洲街8号灏景湾 | 第1期第2座31楼C
新界青衣牙鷹洲街8號灝景灣第1期第2座31樓C | 新界青衣牙鷹洲街8號灝景灣 | 第1期第2座31樓C
将军澳康城路1号日出康城10期LP10 2B座19 | 将军澳康城路1号日出康城10期 | LP10 2B座19
將軍澳康城路1號日出康城10期LP10 2B座19 | 將軍澳康城路1號日出康城10期 | LP10 2B座19
鸭脷洲海怡半岛第3期美康阁32座7楼D室 | 鸭脷洲海怡半岛第3期 | 美康阁32座7楼D室
鴨脷洲海怡半島第3期美康閣32座7樓D室 | 鴨脷洲海怡半島第3期 | 美康閣32座7樓D室
将军澳唐德街9号将军澳中心第1期5座26楼F室 | 将军澳唐德街9号将军澳中心 | 第1期5座26楼F室
將軍澳唐德街9號將軍澳中心第1期5座26樓F室 | 將軍澳唐德街9號將軍澳中心 | 第1期5座26樓F室
# --- 街道獨立建築物 (無屋苑名稱，純大廈/大厦) ------------------------------------------------------------------------
旺角彌敦道580號恆隆大廈11樓1103 | 旺角彌敦道580號 | 恆隆大廈11樓1103
銅鑼灣軒尼詩道438號金鵝商業大廈20 | 銅鑼灣軒尼詩道438號 | 金鵝商業大廈20
灣仔莊士敦道大有大廈8樓804 | 灣仔莊士敦道 | 大有大廈8樓804
深水埗長沙灣道226號華都大廈3樓C | 深水埗長沙灣道226號 | 華都大廈3樓C
大埔寶鄉街45號寶鄉大廈地下B | 大埔寶鄉街45號 | 寶鄉大廈地下B
油麻地上海街12號華興商業大廈7樓7B | 油麻地上海街12號 | 華興商業大廈7樓7B
長沙灣元州街12號茂盛大廈5樓D室 | 長沙灣元州街12號 | 茂盛大廈5樓D室
太古城太古灣道12號盛大廈衛星閣20樓E | 太古城太古灣道12號 | 盛大廈衛星閣20樓E
香港北角英皇道275號國賓大廈A座15樓 | 香港北角英皇道275號 | 國賓大廈A座15樓
九龙油麻地弥敦道525-543号宝宁大厦10字楼B室 | 九龙油麻地弥敦道525-543号 | 宝宁大厦10字楼B室
新界荃灣西樓角道202-216號昌寧商場荃昌大廈1樓 | 新界荃灣西樓角道202-216號 | 昌寧商場荃昌大廈1樓
香港中环德辅道中29号环球大厦10楼1005室 | 香港中环德辅道中29号 | 环球大厦10楼1005室
香港中環德輔道中29號環球大廈10樓1005室 | 香港中環德輔道中29號 | 環球大廈10樓1005室
九龙旺角弥敦道610号荷李活商业中心惠丰大厦14楼1410室 | 九龙旺角弥敦道610号荷李活商业中心 | 惠丰大厦14楼1410室
九龍旺角彌敦道610號荷李活商業中心惠豐大廈14樓1410室 | 九龍旺角彌敦道610號荷李活商業中心 | 惠豐大廈14樓1410室
铜锣湾记利 佐治街1号金百利中心盛興大厦15楼 | 铜锣湾记利佐治街1号 | 金百利中心盛興大厦15楼
銅鑼灣記利佐治街 1號金百利中心盛興大厦15樓 | 銅鑼灣記利佐治街1號 | 金百利中心盛興大厦15樓
